airline,date,departure_time,arrival_time,departure_place,arrival_place,flight_time,seat,price,day,holiday
제주항공,2023-08-05,18:15,19:25,GMP,CJU,70,일반석,119200,토요일,주말
대한항공,2023-08-05,18:20,19:30,GMP,CJU,70,할인석,89700,토요일,주말
대한항공,2023-08-05,18:20,19:30,GMP,CJU,70,일반석,129700,토요일,주말
대한항공,2023-08-05,18:20,19:30,GMP,CJU,70,비즈니스석,189700,토요일,주말
아시아나항공,2023-08-05,18:25,19:35,GMP,CJU,70,할인석,78700,토요일,주말
아시아나항공,2023-08-05,18:25,19:35,GMP,CJU,70,일반석,132700,토요일,주말
아시아나항공,2023-08-05,18:25,19:35,GMP,CJU,70,비즈니스석,169700,토요일,주말
대한항공,2023-08-05,18:35,19:45,GMP,CJU,70,할인석,89700,토요일,주말
대한항공,2023-08-05,18:35,19:45,GMP,CJU,70,일반석,129700,토요일,주말
대한항공,2023-08-05,18:35,19:45,GMP,CJU,70,비즈니스석,189700,토요일,주말
아시아나항공,2023-08-05,18:45,19:55,GMP,CJU,70,할인석,78700,토요일,주말
아시아나항공,2023-08-05,18:45,19:55,GMP,CJU,70,일반석,132700,토요일,주말
아시아나항공,2023-08-05,18:45,19:55,GMP,CJU,70,비즈니스석,169700,토요일,주말
티웨이항공,2023-08-05,18:50,20:00,GMP,CJU,70,할인석,73000,토요일,주말
티웨이항공,2023-08-05,18:50,20:00,GMP,CJU,70,일반석,118700,토요일,주말
아시아나항공,2023-08-05,18:55,20:05,GMP,CJU,70,할인석,72700,토요일,주말
아시아나항공,2023-08-05,18:55,20:05,GMP,CJU,70,일반석,132700,토요일,주말
대한항공,2023-08-05,19:00,20:10,GMP,CJU,70,할인석,83700,토요일,주말
대한항공,2023-08-05,19:00,20:10,GMP,CJU,70,일반석,129700,토요일,주말
대한항공,2023-08-05,19:00,20:10,GMP,CJU,70,비즈니스석,189700,토요일,주말
진에어,2023-08-05,19:05,20:15,GMP,CJU,70,할인석,74600,토요일,주말
대한항공,2023-08-05,19:05,20:15,GMP,CJU,70,일반석,106700,토요일,주말
진에어,2023-08-05,19:05,20:15,GMP,CJU,70,일반석,119700,토요일,주말
제주항공,2023-08-05,19:10,20:20,GMP,CJU,70,할인석,78600,토요일,주말
제주항공,2023-08-05,19:10,20:20,GMP,CJU,70,일반석,119200,토요일,주말
아시아나항공,2023-08-05,19:20,20:35,GMP,CJU,75,할인석,72700,토요일,주말
대한항공,2023-08-05,19:20,20:30,GMP,CJU,70,할인석,83700,토요일,주말
대한항공,2023-08-05,19:20,20:30,GMP,CJU,70,일반석,129700,토요일,주말
아시아나항공,2023-08-05,19:20,20:35,GMP,CJU,75,일반석,132700,토요일,주말
아시아나항공,2023-08-05,19:20,20:35,GMP,CJU,75,비즈니스석,169700,토요일,주말
대한항공,2023-08-05,19:20,20:30,GMP,CJU,70,비즈니스석,189700,토요일,주말
이스타항공,2023-08-05,19:25,20:35,GMP,CJU,70,할인석,68600,토요일,주말
이스타항공,2023-08-05,19:25,20:35,GMP,CJU,70,일반석,119600,토요일,주말
제주항공,2023-08-05,19:30,20:40,GMP,CJU,70,할인석,78600,토요일,주말
제주항공,2023-08-05,19:30,20:40,GMP,CJU,70,일반석,119200,토요일,주말
진에어,2023-08-05,19:35,20:50,GMP,CJU,75,할인석,76600,토요일,주말
대한항공,2023-08-05,19:35,20:50,GMP,CJU,75,일반석,106700,토요일,주말
진에어,2023-08-05,19:35,20:50,GMP,CJU,75,일반석,119700,토요일,주말
진에어,2023-08-05,19:35,20:50,GMP,CJU,75,비즈니스석,174700,토요일,주말
이스타항공,2023-08-05,19:45,20:55,GMP,CJU,70,할인석,68600,토요일,주말
이스타항공,2023-08-05,19:45,20:55,GMP,CJU,70,일반석,119600,토요일,주말
제주항공,2023-08-05,20:30,21:40,GMP,CJU,70,할인석,89600,토요일,주말
대한항공,2023-08-05,20:30,21:40,GMP,CJU,70,할인석,94700,토요일,주말
제주항공,2023-08-05,20:30,21:40,GMP,CJU,70,일반석,119200,토요일,주말
대한항공,2023-08-05,20:30,21:40,GMP,CJU,70,일반석,129700,토요일,주말
대한항공,2023-08-05,20:30,21:40,GMP,CJU,70,비즈니스석,189700,토요일,주말
아시아나항공,2023-08-05,20:50,22:00,GMP,CJU,70,할인석,90700,토요일,주말
아시아나항공,2023-08-05,20:50,22:00,GMP,CJU,70,일반석,132700,토요일,주말
아시아나항공,2023-08-05,21:20,22:30,GMP,CJU,70,할인석,96700,토요일,주말
아시아나항공,2023-08-05,21:20,22:30,GMP,CJU,70,일반석,132700,토요일,주말
아시아나항공,2023-08-05,21:20,22:30,GMP,CJU,70,비즈니스석,169700,토요일,주말
아시아나항공,2023-08-05,06:30,07:40,CJU,GMP,70,할인석,102700,토요일,주말
아시아나항공,2023-08-05,06:30,07:40,CJU,GMP,70,일반석,132700,토요일,주말
아시아나항공,2023-08-05,06:30,07:40,CJU,GMP,70,비즈니스석,189700,토요일,주말
아시아나항공,2023-08-05,06:40,07:50,CJU,GMP,70,할인석,102700,토요일,주말
아시아나항공,2023-08-05,06:40,07:50,CJU,GMP,70,일반석,132700,토요일,주말
아시아나항공,2023-08-05,06:40,07:50,CJU,GMP,70,비즈니스석,189700,토요일,주말
대한항공,2023-08-05,07:00,08:10,CJU,GMP,70,할인석,106700,토요일,주말
대한항공,2023-08-05,07:00,08:10,CJU,GMP,70,일반석,129700,토요일,주말
대한항공,2023-08-05,07:00,08:10,CJU,GMP,70,비즈니스석,189700,토요일,주말
에어서울,2023-08-05,07:30,08:40,CJU,GMP,70,할인석,89600,토요일,주말
에어서울,2023-08-05,07:30,08:40,CJU,GMP,70,특가석,97100,토요일,주말
에어서울,2023-08-05,07:30,08:40,CJU,GMP,70,일반석,119700,토요일,주말
티웨이항공,2023-08-05,07:55,09:05,CJU,GMP,70,할인석,90000,토요일,주말
아시아나항공,2023-08-05,07:55,09:05,CJU,GMP,70,할인석,96700,토요일,주말
티웨이항공,2023-08-05,07:55,09:05,CJU,GMP,70,일반석,118700,토요일,주말
아시아나항공,2023-08-05,07:55,09:05,CJU,GMP,70,일반석,132700,토요일,주말
이스타항공,2023-08-05,08:10,09:15,CJU,GMP,65,할인석,89600,토요일,주말
이스타항공,2023-08-05,08:10,09:15,CJU,GMP,65,일반석,119600,토요일,주말
진에어,2023-08-05,08:15,09:30,CJU,GMP,75,할인석,94600,토요일,주말
진에어,2023-08-05,08:15,09:30,CJU,GMP,75,일반석,119700,토요일,주말
이스타항공,2023-08-05,08:30,09:40,CJU,GMP,70,할인석,89600,토요일,주말
이스타항공,2023-08-05,08:30,09:40,CJU,GMP,70,일반석,119600,토요일,주말
에어부산,2023-08-05,08:40,10:00,CJU,GMP,80,할인석,87960,토요일,주말
대한항공,2023-08-05,08:40,09:50,CJU,GMP,70,할인석,106700,토요일,주말
에어부산,2023-08-05,08:40,10:00,CJU,GMP,80,일반석,118700,토요일,주말
대한항공,2023-08-05,08:40,09:50,CJU,GMP,70,일반석,129700,토요일,주말
대한항공,2023-08-05,08:40,09:50,CJU,GMP,70,비즈니스석,189700,토요일,주말
티웨이항공,2023-08-05,08:45,09:55,CJU,GMP,70,할인석,90000,토요일,주말
제주항공,2023-08-05,08:45,09:55,CJU,GMP,70,할인석,96600,토요일,주말
아시아나항공,2023-08-05,08:45,09:55,CJU,GMP,70,할인석,96700,토요일,주말
티웨이항공,2023-08-05,08:45,09:55,CJU,GMP,70,일반석,118700,토요일,주말
제주항공,2023-08-05,08:45,09:55,CJU,GMP,70,일반석,119200,토요일,주말
아시아나항공,2023-08-05,08:45,09:55,CJU,GMP,70,일반석,132700,토요일,주말
아시아나항공,2023-08-05,08:45,09:55,CJU,GMP,70,비즈니스석,189700,토요일,주말
이스타항공,2023-08-05,08:50,10:00,CJU,GMP,70,할인석,89600,토요일,주말
이스타항공,2023-08-05,08:50,10:00,CJU,GMP,70,일반석,119600,토요일,주말
에어부산,2023-08-05,09:15,10:25,CJU,GMP,70,할인석,87960,토요일,주말
진에어,2023-08-05,09:15,10:25,CJU,GMP,70,할인석,100600,토요일,주말
